sichuanese,english,matched_keywords,n_content,pred_deepseek,pred_glm4plus,preference
以前我没得这个体会现在我体会非常深刻为啥子,"I never understood it before, but now I truly do. Why?",啥子,1,"I didn't really get it before, but now I feel it — deep down in my bones. Why's that?","I never used to get it, but now I understand it all too well.",d
巴巴适适的锅中烧水水开我们下番茄糖皮烫好的番茄我们撕皮,"Easily bring a pot of water to a boil. Once it's boiling, blanch the tomatoes, then peel off the skins. Nice and easy.",巴适,1,"Perfectly done – bring water to a boil in the pot, once it's boiling, add the tomatoes. After blanching them to remove the skin, we peel the tomatoes.","Gently boil water in a pot. Once it's boiling, add the tomatoes. Blanch them until the skins start to peel, then remove the skins.",d
刚刚出来的时候是确实是为了卖轮胎而存在的这个品牌现在它轮胎出了个明显的指南,"When this brand was first launched, it really focused on selling tires. Now it's developed a much clearer product direction.",确实,1,"As the brand originally existed solely for selling tires when it first came out, it has now released a clear guide for its tires.","This brand was originally created specifically to sell tires, but now they've come out with a clear guideline for their tires.",d
刚才不得口子呀你硬是他现在时间咔咔呼噜的,We didn't get the chance just now. He's really moving at full speed now,硬是,1,There was no chance just now—you are really rushing the time now in a muddle.,"You weren't available earlier, and now time is flying by.",d
吃起来麻辣鲜香下酒下饭都安逸得很话不多说看我操作选一块半肥半瘦的三鲜肉改刀,"It's spicy, fragrant, and delicious—perfect with rice or as a drinking snack. Enough talking, let me show you how it's done. Start with a piece of pork that's half lean and half fat, then cut it into slices.",安逸,1,"It’s spicy, numbing, fresh, and fragrant — perfect with both drinks and rice. No need for more talk — just watch me work. Pick a piece of half-fat, half-lean *sanxian* meat and slice it up.","It's incredibly delicious and savory, perfect with drinks or rice. Now watch me work—I'll pick a piece of three-layer pork (half fat, half lean) and get it prepped.",tie-good
这后头这一堆渣渣大爷不准弄他的刚刚在屋头去转了一圈也确实找不到地方塞进去了,"Don't touch this pile in the back. I just walked around the house, and honestly, I couldn't find anywhere to put it.",确实,1,"This pile of junk in the back — the old man won't let anyone touch his stuff. I just took a walk around the house, and there really is no place to cram it in.""",Don't you dare touch that pile of junk behind here. I just went around inside and couldn't find any place to fit it in.,d
黄博士表示很惶恐啊他就说这种做法确实要不得啊,Dr. Huang said he was deeply concerned. He believes this is absolutely the wrong way to handle things.,确实,1,"Dr. Huang expressed that he was quite alarmed, saying that this kind of behavior is indeed unacceptable.",Dr. Huang was very concerned and said that this approach is really unacceptable.,tie-good
这个是该多抽点时间去陪下妈啊弟兄姊妹吃下饭啊那个时候给自己找借口就确实太忙了逢年过节回去吧,"It's true that we should make more time to be with mom and have a meal with our siblings. At that time, I made excuses that I'm too busy—go home during the holidays while you still can.",确实,1,"This is about making more time to hang out with Mom and have meals with siblings, you know. Back then, I’d make excuses and say I was just too busy. But when holidays rolled around, I’d still head home.","You really should make more time to spend with your mom and siblings, like having meals together. Making excuses about being too busy is just that—excuses. At least go back during holidays.",tie-bad
哦我老汉死的早我老汉死的时间比我都还年轻些就是在这个老山上死的,"My dad passed away young. In fact, he was younger than I am now when he died. He passed away on this old mountain.",老汉|哦(语气词),1,"Oh, my old man died young. He was even younger than I am now when he passed—right here on this old mountain.","My old man passed away early. He died younger than I am now, right here on this old mountain.",tie-good
仔细想光阴人家日月如梭确实过得太快了转瞬之间成绩当年七足嘛转瞬就是白头翁,"When you really think about it, time flies. Life passes so quickly. In what feels like the blink of an eye, a young man in his prime has become an old man with white hair.",确实|嘛(语气词),1,"Think about it carefully, time really flies — it moves like a weaver's shuttle. In the blink of an eye, the achievements of those days are already seven feet tall, and just like that, you're an old man with white hair.","When you really think about it, time flies by so fast. In the blink of an eye, you're a young adult with your whole life ahead, and before you know it, you're an old person with gray hair.",d
确实不爽再看旁边这个,That really isn't satisfying. Now let's take a look at the one next to it.,确实,1,"Yeah, not happy at all. Then look at this guy next to him.",It's seriously annoying to look at the one next to it.,tie-bad
对不对你明明身上只有八元钱你凭啥子要在新杰宾馆后头去喝杯茶呢,Think about it—you've only got eight yuan on you. What makes you think you should be sitting behind the Xinjie Hotel having tea?,啥子,1,"Right? You clearly only have eight yuan on you, so why on earth would you go to the back of Xinjie Hotel to have a cup of tea?",How can you go for tea behind Xinjie Hotel when you clearly only have eight yuan in your pocket?,d
不过也要说清楚是借给你的哦话又说转来你要是到婆婆娘那去拿两万块钱噻哎就可以不还喽,"But let's be clear—that money is only being lent to you. On the other hand, if you get twenty thousand yuan from your wife, well… you probably don't have to pay it back.",婆娘|噻|哦(语气词),1,"But just so we're clear, I'm lending it to you, alright? That said, if you go and get twenty thousand bucks from your mother-in-law, well then, you wouldn’t have to pay me back.","But let me be clear, this is a loan. That said, if you go to your mother-in-law and get 20,000 bucks, then you don't have to pay it back.",g
我也算不出牌强有些啥子牌只能慢慢的打着看,I can't tell which hand is strongest either. We'll just have to play it out and see how it goes.,啥子,1,Even I can’t figure out what cards are strong just by looking at them. I’ll just have to play them out slowly and see how it goes.,"I'm not sure what strong hands I have, so I'll just have to play it slow and see what happens.",g
今天的天气好安逸哦我们一起走山上去烫火锅不爱火锅安逸刚好星期天满盘我们一家人吃,The weather is gorgeous today. How about head up into the mountains and have some hot pot? It's Sunday after all—the perfect day for the whole family to enjoy a meal together.,安逸|哦(语气词),1,"The weather today is so nice and comfy. Let's hike up the mountain together and have hotpot. Don't you just love hotpot? It's perfect—it's Sunday, so the whole family can gather and enjoy a full spread together.","The weather is so nice today. Let's go up the mountain to have hot pot. If you're not into hot pot, that's fine too. It's Sunday, so we can have a big family feast.",d
为啥子仅仅要扣住这个主题时间都在哪儿去了啊,"Why focus only on this one topic? More importantly, where has all the time gone?",啥子,1,"Why cling to this theme, asking where the time has gone?",Why do we have to keep focusing on this topic? Where did all the time go?,g
他不收确实又不忍心人家是真心不收,"He just wouldn't accept it, and honestly I couldn't force him. He genuinely meant it when he refused.",确实,1,"He really couldn't bring himself to accept it, since the other party genuinely insisted on not taking it.","If he doesn't accept it, he feels bad for them because they genuinely don't want to take it.",d
一次性吃安逸反正五十九块儿,"Go ahead and enjoy it all at once. It's only 59 yuan anyway, so it's well worth it.",安逸,1,Just go ahead and eat to your heart's content — it's only 59 bucks for an all-you-can-eat deal.,"Go all out and treat yourself, it's only 59 bucks anyway.",d
哎哟啥子东西哦哎呦咋讲屁股,What on earth is that? Oh dear... how should I put this? It looks like a butt.,啥子|哦(语气词),1,"Ouch! What the heck is that? Ouch, talk about my butt!","Oh my god, what the heck is that? And what do you mean by ""butt""?",tie-good
那个滩海外滩的摊都是贪心的滩别个拉的横幅啊确实减配很严重确实配套也不咋的那些小区业主出行都不方便的哈买不到张老表,"That ""Tan"" isn't the Bund—it's the ""tan"" from ""greedy."" The banners other people put up aren't exaggerating. The cost-cutting is real, the facilities are lacking, and it's inconvenient for residents to get around. Buddy, don't rush into buying there.",确实|老表|哈(语气词),2,"All those stalls at the beachside Bund are run by greedy folks. The banners those people put up — yeah, they really cut corners big time. The facilities are pretty lousy too. Those homeowners in the neighborhood can't even get around easily. Can't even find a Zhang Laobiao around here.","The vendors at that beachfront are so greedy. The banners they put up are misleading—the quality is seriously cut corners, and the amenities are terrible. The residents in those communities have trouble getting around. And I couldn't even get tickets for the Zhang Lao Biao show.",tie-bad
这天是我硬是黑得早六点半就黑了外星早晨起来嘛,"It's getting dark ridiculously early these days. By 6:30 it's already night, so you have to get up early in the morning.",硬是|嘛(语气词),1,"The days are getting dark early here. It was already dark at 6:30 in the evening. In the morning, I wake up early.","It got dark so early today, at 6:30 sharp. I woke up at dawn.",tie-bad
哟感觉不行等我去看哟安逸安逸得车得车啊啊喵喵,"Hmm... something doesn't seem right. Let me go take a look. Oh, now that's nice! This car is really great.",安逸,1,"Oh, I don't think it's gonna work—let me go check it out. Oh man, this is nice, real nice. Get in the car, get in! Ahh, meow meow.","Oh, I don't think that'll work. Let me go take a look. That's nice, that's nice. Get the car, get the car. Aww, meow meow.",d
帽子整起走哎真的安逸哎哟好恶心,"Put your hat on and let's go. It actually looks pretty good… whoa, that's disgusting!",安逸,1,"Put on that hat, man, it's really comfy. Ugh, that's so gross.","Putting on that hat feels so good, oh man it's disgusting.",d
就不是跟你开玩笑你怎么乱子说上头有猫猫你少喝老子老子懂,I'm not joking with you. Why are you talking nonsense about there being a cat up there? Cut back on the drinking—I know what I'm talking about.,老子,1,"I wasn't joking with you. Why are you talking nonsense? There's a cat up there. Don't mess with me, I know what's up.","I'm not kidding you, so why are you talking nonsense about a cat on the roof? Stop drinking so much, you idiot. I know what I'm talking about.",g
啊我领奖回来了老者不嘛老人老子给你闹着啥了你那个啥子讲哦我看下啊你好啊,"I'm back from collecting my award. I didn't do anything to you, so what were you saying just now? Let me have a look. Hey there!",老子|啥子|哦(语气词)|嘛(语气词),2,"Oh, I've come back from receiving the award, old man. What's the fuss about? What were you saying? Let me take a look. Oh, hello there.","I'm back from collecting my prize, old man. What are you getting at? What are you trying to say? Let me see... Hello.",tie-bad
平尼有几次经过娘娘的塌榻大白天的娘娘的房间都要关到起而两个侍女都在外头守到平尼当时看到就觉得不安逸想劝两句反倒被娘娘赏了几句就回来平尼也不好说啥子了,"Pingni passed by Her Ladyship's chambers several times. Even in broad daylight, the doors stayed shut while two maids stood guard outside. Something about it didn't sit right with her. She tried to offer a few words of advice, only to be scolded, so she decided it was best to keep quiet after that.",啥子|安逸,2,"Pingni once passed by the lady's chamber a few times. Even in broad daylight, the lady’s room was always kept shut, with two maids standing guard outside. Pingni felt uneasy about this at the time and wanted to offer a word of advice, but instead got a few sharp remarks from the lady and returned. After that, Pingni didn’t feel like saying anything more.","Pingni passed by the concubine's room several times during the day and noticed that her door was always kept shut, even though her two maids were stationed outside. Pingni felt uneasy about this and wanted to say something, but the concubine snapped at him instead. After that, Pingni didn't feel he could say anything more about the matter.",d
但是为了人类利益做出这样基础贡献的人确实是,Those who make such fundamental contributions for the benefit of humanity truly ...,确实,1,But those who make such fundamental contributions for the benefit of humanity truly are...,But people who make such fundamental contributions for the benefit of humanity truly are something else.,d
睡午觉听到说老汉儿来了,I was taking a nap when someone said my dad had arrived.,老汉,1,Taking a nap and overhearing that my old man has arrived.,Heard my dad came while I was napping.,d
这个梨子还是非常安逸真的甜又脆又甜第二天,"These pears are fantastic—sweet, crisp, and incredibly juicy. They were still delicious the next day.",安逸,1,"This pear is really nice, for real—sweet, crunchy, and sweet again the next day.","This pear is really delicious—so sweet and crunchy, and it stayed that way even the next day.",g
走哎等下来我吃饭哦今天啥子时候今,Let's go.Come over to my place for a meal later. What time is it ?,啥子|哦(语气词),1,"Hey, wait up! Come eat with me later—what time works for you today?","Hey wait, come have lunch with me today. What time is it now?",d
跟价格跟跟大家介绍出来啊说我们发车不说价生意做不大呀但是我确实没得办法哈,"I'll be upfront about the price. People say you can't build a business without talking prices, but honestly, I don't really have much choice.",确实|哈(语气词),1,"Let me just lay out the prices for everyone, alright? They say if you don't name your price when selling, you won't make a deal. But honestly, I really don't have a choice here.","Let me break down the price for everyone here. We don't haggle on our prices, and honestly, we can't grow our business that way. But I really have no choice in the matter.",d
负一楼和负二楼的一个格局家里面带个电梯坐起它还是安逸哟你莫说哈哈,"The layout of the first and second basement is same, and there's even a private elevator in the house. Honestly, it's a really nice setup.True.Hahaha...",安逸,1,"The layout of the basement levels, with a private elevator at home, is actually quite cozy, you gotta admit, haha.","Having a layout with an elevator in the basement levels (B1 and B2) is just so comfortable and convenient. You can't even imagine how nice it is, haha!",g
安逸噻杏鲍菇独特的口感不管夏天吃起安逸一年四季都适合,"Absolutely delicious! King oyster mushrooms have such a unique texture. They're great in the summer—and honestly, they're perfect all year round.",安逸|噻,1,"""Comfortable, right?"" The unique texture of the king oyster mushroom is enjoyable in summer, and it's suitable for all seasons.",The unique texture of king oyster mushrooms makes them a refreshing treat in summer and suitable for enjoyment all year round.,d
我感觉你们嘞些间谍对不对你们那些间谍都是专门来问那些歪瓜那种企图误导我直播间的老表,I get the feeling some of you are undercover trolls. You keep asking ridiculous questions just to mislead the bros watching my livestream.,老表,1,"I feel like you guys, those spies, right? Those spies of yours are specifically here to ask about those dubious characters, trying to mislead the old pals in my livestream.","I feel like you guys are all spies, right? You're all spies who specifically come here to ask those ridiculous questions, trying to mislead my audience.",g
幺儿啊等了三个多小时终于动手了你干嘛,"Kiddo, we've been waiting for over three hours. We're finally getting started—Do you want to join?",嘛(语气词)|幺(称谓/方言),1,"Dear child, after waiting over three hours, you've finally made a move. What are you up to?","After waiting for over three hours, you finally made your move. What were you thinking?",d
结果瞧起人家屋顶花园了说是种菜安逸西门车站那边有,Then I saw someone else's rooftop garden. They were growing vegetables up there—it looked fantastic.The West Gate Station is near there .,安逸,1,"It turned out they set their eyes on someone else’s rooftop garden, saying it’s ideal for growing vegetables—over near the west gate bus station.",Then he saw the rooftop garden next door and said how nice it would be to grow vegetables there. He mentioned there's one near Ximen Station.,tie-good
而男人呢刚开始哈是来得快去的也很快的到后面就恼火了老公老公,"For men, it often starts quickly and ends just as quickly. But later on, that's when things can become troublesome.Darling...",恼火|哈(语气词),1,"As for men, at first they come quickly and leave just as fast, but later on, it gets tough—hubby, hubby.","For men, it's quick to get started and quick to finish at first, but later on it gets them frustrated. ""Honey, honey!""",tie-good
我的个妈好久玩过这个梗眼睛闭起又有点紧张又有点不晓得是咋个的了,"Oh my goodness, it's been ages since I last played this meme. I closed my eyes and suddenly felt nervous—I didn't even know what was going on.",咋个,1,"Oh my god, it's been a while since I last played around with this meme. With my eyes closed, I feel a bit nervous and also kinda unsure of what's going on with me.","Oh my god, it's been so long since I've done this, I'm closing my eyes, feeling nervous but also kind of... I don't even know what I'm feeling.",d
老汉的非常柔软大家看把沈家里一起拿完,"The stuffs from this boss are really soft. Look, everyone—let's take the rest as well.",老汉,1,"The old man's extremely soft — everyone, take a look, take everything from the Shen family together.","The old man is really soft, everyone watch as he takes everything from Shen's house together.",d
走马儿带你去种草你上个厕所要好久嘛老子饿了,"Come on, I'll take you somewhere worth checking out. How can you spend so long in the bathroom? I'm starving!",老子|嘛(语气词),1,"Come on, let's take a horse ride and go check out some cool spots. How long are you gonna be in the bathroom? I'm starving here.","I'll take you for a spin, but you take forever in the bathroom. I'm starving!",tie-bad
而我呢连拉丁文都忘得差不多了至于相貌医生苦笑着看了看自己似乎也没得啥子过人之处啊,"As for me, I've forgotten almost all my Latin. As for my looks... the doctor smiled bitterly, as if there was nothing particularly remarkable about me.",啥子,1,"As for me, I’ve pretty much forgotten even my Latin. When it came to his appearance, the doctor gave a wry smile and glanced at himself—seemed like there wasn’t anything particularly outstanding about him either.","As for me, I've pretty much forgotten all my Latin. As for my looks, the doctor just smiled wryly at himself, as if he couldn't find anything particularly special about himself either.",tie-good
哎就觉得些就是朋友些噻在喝酒啊扯把子啊在吹牛这些,"That's what friends do—they get together for drinks, chat, joke around, and brag a little.",扯把子|噻,1,"Oh, they’re just hanging out with friends, you know—drinking, shooting the breeze, shooting the bull.","I just feel like it's friends getting together, drinking, chatting, and shooting the breeze.",g
啊和老鹰养狗和飞机养狗个人种地就安逸哈要去那窝,"I swear, having a courtyard to keep a dog and living off your own land is the absolute best.",安逸|哈(语气词),1,"Ah, raising dogs like an eagle or raising dogs like an airplane—just planting your own land and living the easy life, huh? Gotta go to that nest over there.","It's so chill raising dogs, farming, and flying planes. I'm heading to that nest.",g
什么叫骂他的管管呢就说他说你说他是瓜娃子,How is that insulting him? All you did was call him an idiot.,瓜娃子,1,What do you mean by scolding him? It's like he said you called him a fool.,What do you mean by 'scolding him'? You're just calling him a fool.,d
弄了好多腊肉好安逸妈妈,"We made a whole lot of cured pork. Mom, it turned out absolutely delicious!",安逸,1,"Making so much cured meat, so cozy, Mom.","Having made so much cured pork feels so good, mom.",tie-bad
非常安逸啊,Very cozy!,安逸,1,"Very comfortable, ah!",So cozy and comfortable.,tie-good
